playerID,allCount,posCount,neuCount,negCount,allTime,posTime,neuTime,negTime,focusTime3,focusEnvTime3,focusPeoTime3,focusUITime3,jumpCount3,EnvPeo3,EnvUI3,PeoEnv3,PeoUI3,UIEnv3,UIPeo3,focusTime4,focusEnvTime4,focusPeoTime4,focusUITime4,jumpCount4,EnvPeo4,EnvUI4,PeoEnv4,PeoUI4,UIEnv4,UIPeo4,focusTime5,focusEnvTime5,focusPeoTime5,focusUITime5,jumpCount5,EnvPeo5,EnvUI5,PeoEnv5,PeoUI5,UIEnv5,UIPeo5,time,process,stopTime,stopCount,stopMeanTime,mean,var,standardMean,meanRate,standardVar,varRate,level
A01,42,0.38095,0.2381,0.38095,238.604,0.33421,0.32478,0.341,6518,0.489874195,0.097882786,0.412243019,904,0.1958,0.26991,0.19469,0.0354,0.26991,0.03429,11102,0.343721852,0.004053324,0.652224824,578,0.01211,0.48616,0.01211,0.00173,0.48616,0.00173,3909,0.271936557,0.008697877,0.719365567,288,0.02778,0.45833,0.03125,0.01389,0.45139,0.01736,19.05,1,1,1,1,13.34385391,228.5181985,11.96472168,1.11527,179.688713,1.27174,1
A02,32,0.71875,0.09375,0.1875,196.869,0.71214,0.13384,0.15402,6040,0.449006623,0.101324503,0.449668874,429,0.19814,0.2704,0.17483,0.04429,0.29138,0.02098,7984,0.317760521,0.015656313,0.666583166,236,0.04237,0.45763,0.03814,0.00424,0.45763,0,3092,0.19534282,0.007761966,0.796895213,107,0.03738,0.46729,0.03738,0,0.45794,0,15.8,0.795001209,4.9,2,2.45,14.4557252,196.0327052,14.51266542,0.99608,175.7255266,1.11556,0
A04,32,0.78125,0.0625,0.15625,184.739,0.71306,0.07109,0.21585,7260,0.393801653,0.098760331,0.507438017,506,0.19565,0.26482,0.18577,0.04545,0.27273,0.03557,7416,0.242044229,0.033980583,0.723975189,242,0.09091,0.40496,0.08264,0.00826,0.41322,0,2767,0.227322009,0,0.772677991,99,0,0.50505,0,0,0.49495,0,12.4,0.8450014,1.85,1,1.85,17.20677091,147.8067775,13.13533238,1.30996,87.80859891,1.68328,0
A05,34,0.61765,0.08824,0.29412,172.645,0.56981,0.0871,0.3431,6642,0.453176754,0.134598013,0.412225233,539,0.22449,0.2449,0.19852,0.04453,0.26902,0.01855,6931,0.303707979,0.027124513,0.669167508,164,0.07317,0.42073,0.06707,0.0122,0.42073,0.0061,3128,0.257672634,0.006074169,0.736253197,125,0.072,0.424,0.064,0.008,0.432,0,14.4,0.785001159,3.35,2,1.675,15.06826408,273.4187276,17.81278649,0.84592,248.7592811,1.09913,0
A06,37,0.43243,0.24324,0.32432,208.372,0.41547,0.25035,0.33418,7098,0.450267681,0.114116653,0.435615666,654,0.16667,0.30887,0.16208,0.02752,0.31193,0.02294,7728,0.370859213,0.00944617,0.619694617,441,0.02494,0.47619,0.02494,0,0.47392,0,4025,0.186832298,0.003975155,0.809192547,161,0.02484,0.47205,0.01863,0.00621,0.47826,0,18,0.545000255,9.75,4,2.4375,4.609382775,48.19828809,3.910873875,1.17861,45.84876448,1.05125,3
A07,36,0.58333,0.13889,0.27778,262.237,0.57565,0.13812,0.28624,7356,0.46451876,0.140701468,0.394779772,697,0.21664,0.26255,0.19943,0.03013,0.27834,0.01291,9457,0.307814317,0.023897642,0.668288041,303,0.0429,0.45215,0.033,0.0099,0.46205,0,3826,0.300313643,0.014375327,0.68531103,185,0.05946,0.42703,0.07027,0.01081,0.41081,0.02162,10.45,0.725000978,1.2,1,1.2,16.97725863,143.1052122,8.814853575,1.92598,124.3200748,1.1511,1
A09,47,0.2766,0.25532,0.46809,277.154,0.3106,0.27095,0.41844,7819,0.552884001,0.110500064,0.336615936,787,0.19441,0.28081,0.17535,0.03431,0.29987,0.01525,10510,0.339105614,0.007992388,0.652901998,401,0.01995,0.47631,0.01496,0.00748,0.4788,0.00249,3815,0.291743119,0.046395806,0.661861075,225,0.10667,0.38667,0.11111,0.00444,0.38222,0.00889,13.85,0.600000501,4.1,2,2.05,10.43238948,174.3606975,13.02392578,0.80102,148.784975,1.1719,3
A10,42,0.40476,0.28571,0.30952,372.464,0.35863,0.32041,0.32097,7900,0.422278481,0.174177215,0.403544304,760,0.21842,0.23421,0.21447,0.05,0.23684,0.04605,12747,0.259512042,0.007217384,0.733270573,345,0.02029,0.47536,0.01739,0.0058,0.47826,0.0029,3432,0.215034965,0.031177156,0.753787879,173,0.08671,0.39884,0.09249,0.01156,0.39306,0.01734,23.05,0.646667898,9.05,3,3.01667,18.41668871,385.9029229,13.51178279,1.36301,142.1896091,2.714,2
A11,38,0.5,0.26316,0.23684,207.001,0.45336,0.30975,0.23689,6483,0.463365726,0.110442696,0.426191578,498,0.17671,0.28313,0.17068,0.04418,0.28715,0.03815,9898,0.246817539,0.005253587,0.747928875,296,0.02027,0.47973,0.01689,0.00338,0.47973,0,2908,0.255158184,0.002063274,0.742778542,97,0.02062,0.48454,0.02062,0,0.47423,0,14.1,0.85500145,1.3,1,1.3,12.75906109,153.4579429,13.10325221,0.97373,84.5680847,1.81461,3
A12,38,0.63158,0.13158,0.23684,247.089,0.55026,0.20351,0.24624,7029,0.445298051,0.184805805,0.369896145,665,0.23008,0.22406,0.22556,0.04812,0.22857,0.04361,9830,0.393591048,0.022177009,0.584231943,316,0.06646,0.42722,0.06646,0.00633,0.42722,0.00633,4119,0.370235494,0.020878854,0.608885652,146,0.07534,0.42466,0.07534,0,0.42466,0,11.35,0.660000682,0,0,0,10.81963172,111.5051209,11.97543674,0.90349,134.5376466,0.8288,0
A13,33,0.63636,0.15152,0.21212,222.661,0.54562,0.22023,0.23415,6968,0.46641791,0.069316877,0.464265212,410,0.22683,0.24634,0.21463,0.03415,0.2561,0.02195,8450,0.313136095,0.004260355,0.68260355,225,0.03111,0.46667,0.02222,0.00889,0.47111,0,3056,0.241164921,0.017670157,0.741164921,126,0.07937,0.4127,0.07143,0.01587,0.4127,0.00794,12.45,0.525000215,3.7,1,3.7,15.64531599,227.05935,15.48676924,1.01024,141.0774025,1.60947,1
A16,45,0.51111,0.26667,0.22222,218.072,0.50645,0.26681,0.22675,7502,0.487203412,0.156225007,0.356571581,677,0.22895,0.24815,0.21713,0.02954,0.25849,0.01773,8904,0.320867026,0.023809524,0.65532345,468,0.06197,0.43803,0.06197,0,0.43803,0,2630,0.280608365,0.00418251,0.715209125,126,0.04762,0.45238,0.03968,0.00794,0.45238,0,21.7,1,6.15,1,6.15,11.13342481,96.50743811,7.992991912,1.3929,81.48250528,1.18439,2
