playerID,focusTime1,focusEnvTime1,focusPeoTime1,focusUITime1,jumpCount1,EnvPeo1,EnvUI1,PeoEnv1,PeoUI1,UIEnv1,UIPeo1,focusTime2,focusEnvTime2,focusPeoTime2,focusUITime2,jumpCount2,EnvPeo2,EnvUI2,PeoEnv2,PeoUI2,UIEnv2,UIPeo2,focusTime3,focusEnvTime3,focusPeoTime3,focusUITime3,jumpCount3,EnvPeo3,EnvUI3,PeoEnv3,PeoUI3,UIEnv3,UIPeo3,focusTime4,focusEnvTime4,focusPeoTime4,focusUITime4,jumpCount4,EnvPeo4,EnvUI4,PeoEnv4,PeoUI4,UIEnv4,UIPeo4,focusTime5,focusEnvTime5,focusPeoTime5,focusUITime5,jumpCount5,EnvPeo5,EnvUI5,PeoEnv5,PeoUI5,UIEnv5,UIPeo5,focusTime6,focusEnvTime6,focusPeoTime6,focusUITime6,jumpCount6,EnvPeo6,EnvUI6,PeoEnv6,PeoUI6,UIEnv6,UIPeo6
A01,1223,0.34341782502044155,0.0,0.6565821749795585,48,0.0,0.5,0.0,0.0,0.5,0.0,3401,0.4672155248456336,0.0,0.5327844751543663,154,0.0,0.5,0.0,0.0,0.5,0.0,6518,0.4898741945382019,0.09788278613071494,0.41224301933108315,904,0.1958,0.26991,0.19469,0.0354,0.26991,0.03429,11102,0.34372185191857324,0.004053323725454873,0.6522248243559718,578,0.01211,0.48616,0.01211,0.00173,0.48616,0.00173,3909,0.2719365566641085,0.008697876694806856,0.7193655666410846,288,0.02778,0.45833,0.03125,0.01389,0.45139,0.01736,343,0.8250728862973761,0.0,0.1749271137026239,10,0.0,0.5,0.0,0.0,0.5,0.0
A02,979,0.24208375893769152,0.0,0.7579162410623085,19,0.0,0.52632,0.0,0.0,0.47368,0.0,3432,0.3557692307692308,0.0,0.6442307692307693,82,0.0,0.5,0.0,0.0,0.5,0.0,6040,0.44900662251655626,0.10132450331125828,0.44966887417218543,429,0.19814,0.2704,0.17483,0.04429,0.29138,0.02098,7984,0.3177605210420842,0.0156563126252505,0.6665831663326653,236,0.04237,0.45763,0.03814,0.00424,0.45763,0.0,3092,0.19534282018111254,0.007761966364812419,0.796895213454075,107,0.03738,0.46729,0.03738,0.0,0.45794,0.0,307,0.7328990228013029,0.0,0.2671009771986971,6,0.0,0.5,0.0,0.0,0.5,0.0
A04,782,0.20588235294117646,0.0,0.7941176470588235,19,0.0,0.52632,0.0,0.0,0.47368,0.0,3776,0.2330508474576271,0.0,0.7669491525423728,94,0.0,0.5,0.0,0.0,0.5,0.0,7260,0.39380165289256197,0.0987603305785124,0.5074380165289256,506,0.19565,0.26482,0.18577,0.04545,0.27273,0.03557,7416,0.24204422869471412,0.03398058252427184,0.7239751887810141,242,0.09091,0.40496,0.08264,0.00826,0.41322,0.0,2767,0.22732200939645825,0.0,0.7726779906035417,99,0.0,0.50505,0.0,0.0,0.49495,0.0,308,0.7337662337662337,0.0,0.2662337662337662,3,0.0,0.66667,0.0,0.0,0.33333,0.0
A05,644,0.2096273291925466,0.0,0.7903726708074534,21,0.0,0.52381,0.0,0.0,0.47619,0.0,3696,0.42803030303030304,0.0,0.571969696969697,144,0.0,0.5,0.0,0.0,0.5,0.0,6642,0.4531767539897621,0.13459801264679314,0.41222523336344474,539,0.22449,0.2449,0.19852,0.04453,0.26902,0.01855,6931,0.30370797864665994,0.027124513057278893,0.6691675082960612,164,0.07317,0.42073,0.06707,0.0122,0.42073,0.0061,3128,0.25767263427109977,0.006074168797953964,0.7362531969309463,125,0.072,0.424,0.064,0.008,0.432,0.0,306,0.6797385620915033,0.0,0.3202614379084967,5,0.0,0.6,0.0,0.0,0.4,0.0
A06,1346,0.38410104011887075,0.0,0.6158989598811293,32,0.0,0.5,0.0,0.0,0.5,0.0,4624,0.3490484429065744,0.0,0.6509515570934256,176,0.0,0.5,0.0,0.0,0.5,0.0,7098,0.4502676810369118,0.11411665257819104,0.4356156663848971,654,0.16667,0.30887,0.16208,0.02752,0.31193,0.02294,7728,0.37085921325051757,0.009446169772256728,0.6196946169772257,441,0.02494,0.47619,0.02494,0.0,0.47392,0.0,4025,0.18683229813664595,0.003975155279503106,0.809192546583851,161,0.02484,0.47205,0.01863,0.00621,0.47826,0.0,352,0.5994318181818182,0.0,0.4005681818181818,5,0.0,0.6,0.0,0.0,0.4,0.0
A07,1631,0.41569589209074187,0.0,0.5843041079092581,60,0.0,0.5,0.0,0.0,0.5,0.0,3812,0.34601259181532007,0.0,0.6539874081846799,112,0.0,0.5,0.0,0.0,0.5,0.0,7356,0.46451876019575855,0.1407014681892333,0.39477977161500816,697,0.21664,0.26255,0.19943,0.03013,0.27834,0.01291,9457,0.3078143174368193,0.02389764195833774,0.6682880406048429,303,0.0429,0.45215,0.033,0.0099,0.46205,0.0,3826,0.30031364349189754,0.014375326711970726,0.6853110297961317,185,0.05946,0.42703,0.07027,0.01081,0.41081,0.02162,355,0.7211267605633803,0.0,0.27887323943661974,5,0.0,0.6,0.0,0.0,0.4,0.0
A09,1093,0.35681610247026535,0.0,0.6431838975297347,42,0.0,0.5,0.0,0.0,0.5,0.0,3548,0.4456031567080045,0.0,0.5543968432919955,158,0.0,0.5,0.0,0.0,0.5,0.0,7819,0.5528840005115744,0.11050006394679626,0.3366159355416294,787,0.19441,0.28081,0.17535,0.03431,0.29987,0.01525,10510,0.33910561370123693,0.007992388201712655,0.6529019980970504,401,0.01995,0.47631,0.01496,0.00748,0.4788,0.00249,3815,0.29174311926605506,0.04639580602883355,0.6618610747051114,225,0.10667,0.38667,0.11111,0.00444,0.38222,0.00889,348,0.7873563218390804,0.0,0.21264367816091953,7,0.0,0.57143,0.0,0.0,0.42857,0.0
A10,1441,0.2512144344205413,0.0,0.7487855655794587,23,0.0,0.52174,0.0,0.0,0.47826,0.0,3788,0.4028511087645195,0.0,0.5971488912354804,124,0.0,0.5,0.0,0.0,0.5,0.0,7900,0.42227848101265825,0.17417721518987342,0.40354430379746836,760,0.21842,0.23421,0.21447,0.05,0.23684,0.04605,12747,0.2595120420491096,0.007217384482623363,0.7332705734682671,345,0.02029,0.47536,0.01739,0.0058,0.47826,0.0029,3432,0.21503496503496503,0.031177156177156176,0.7537878787878788,173,0.08671,0.39884,0.09249,0.01156,0.39306,0.01734,332,0.7710843373493976,0.0,0.2289156626506024,3,0.0,0.66667,0.0,0.0,0.33333,0.0
A11,1124,0.3291814946619217,0.0,0.6708185053380783,29,0.0,0.51724,0.0,0.0,0.48276,0.0,3133,0.3906798595595276,0.0,0.6093201404404723,86,0.0,0.5,0.0,0.0,0.5,0.0,6483,0.4633657257442542,0.11044269628258523,0.4261915779731606,498,0.17671,0.28313,0.17068,0.04418,0.28715,0.03815,9898,0.24681753889674682,0.005253586583148111,0.747928874520105,296,0.02027,0.47973,0.01689,0.00338,0.47973,0.0,2908,0.2551581843191197,0.0020632737276478678,0.7427785419532325,97,0.02062,0.48454,0.02062,0.0,0.47423,0.0,349,0.6934097421203438,0.0,0.30659025787965616,6,0.0,0.5,0.0,0.0,0.5,0.0
A12,928,0.47844827586206895,0.0,0.521551724137931,22,0.0,0.5,0.0,0.0,0.5,0.0,3322,0.41330523780854905,0.0,0.5866947621914509,76,0.0,0.5,0.0,0.0,0.5,0.0,7029,0.44529805093185376,0.18480580452411438,0.36989614454403186,665,0.23008,0.22406,0.22556,0.04812,0.22857,0.04361,9830,0.3935910478128179,0.022177009155645983,0.5842319430315361,316,0.06646,0.42722,0.06646,0.00633,0.42722,0.00633,4119,0.3702354940519544,0.02087885409079874,0.6088856518572469,146,0.07534,0.42466,0.07534,0.0,0.42466,0.0,332,0.6295180722891566,0.0,0.3704819277108434,1,0.0,1.0,0.0,0.0,0.0,0.0
