playerID,1-4-value,1-4-time,1-1-value,1-1-time,2-2-value,2-2-time,3-1-value,3-1-time,3-5-value,3-5-time,3-6-value,3-6-time,3-7-value,3-7-time,3-8-value,3-8-time,3-9-value,3-9-time,4-1-value,4-1-time,4-2-value,4-2-time,4-5-value,4-5-time,4-6-value,4-6-time,4-7-value,4-7-time,5-1-value,5-1-time,5-4-value,5-4-time,5-5-value,5-5-time,5-7-value,5-7-time,5-6-value,5-6-time,5-8-value,5-8-time,5-22-value,5-22-time,5-32-value,5-32-time,5-31-value,5-31-time,5-23-value,5-23-time,5-25-value,5-25-time,5-26-value,5-26-time,5-27-value,5-27-time,5-28-value,5-28-time,5-34-value,5-34-time,5-36-value,5-36-time,5-37-value,5-37-time,5-38-value,5-38-time,5-39-value,5-39-time,5-40-value,5-40-time,6-1-value,6-1-time,6-2-value,6-2-time,6-3-value,6-3-time,5-35-value,5-35-time,3-3-value,3-3-time,3-11-value,3-11-time,3-13-value,3-13-time,3-16-value,3-16-time,3-18-value,3-18-time,6-6-value,6-6-time,5-29-value,5-29-time,5-30-value,5-30-time,5-9-value,5-9-time,5-11-value,5-11-time,5-18-value,5-18-time,5-19-value,5-19-time,5-20-value,5-20-time,3-17-value,3-17-time,5-16-value,5-16-time,6-7-value,6-7-time,6-8-value,6-8-time,6-9-value,6-9-time,5-24-value,5-24-time,5-13-value,5-13-time,5-15-value,5-15-time
A01,1,5.219,1,2.289,-1,5.768,-1,3.133,1.0,3.263,-1,4.167,1,5.129,1.0,4.949,1.0,4.693,1,6.932,-1.0,4.22,-1,8.154,-1.0,4.171,1.0,5.129,1,3.033,0,14.77,-1.0,5.02,-1.0,3.887,-1.0,4.92,-1.0,4.819,0.0,5.564,-1.0,5.053,-1.0,5.062,-1.0,6.11,-1.0,3.975,0.0,6.119,-1.0,6.562,0.0,6.571,-1.0,6.344,0,4.265,0,10.307,0,12.95,0,5.565,1,5.397,1,6.688,1,6.036,0,6.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02,1,8.841,1,3.912,-1,5.604,-1,5.246,-1.0,4.374,1,4.339,1,4.352,1.0,4.5,1.0,5.436,1,4.615,1.0,6.339,-1,6.529,-1.0,4.509,-1.0,4.059,1,4.033,1,13.536,1.0,3.731,,,1.0,4.754,,,,,,,,,,,,,,,,,,,,,0,9.052,1,11.352,1,6.615,1,6.151,1,5.257,1,4.739,1,6.41,1,6.85,0.0,11.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04,-1,8.74,1,9.62,1,9.176,1,3.749,,,-1,6.468,1,5.343,1.0,4.989,1.0,4.954,1,4.763,1.0,7.247,-1,10.794,-1.0,5.153,1.0,8.764,1,4.166,1,4.787,1.0,3.232,,,1.0,4.365,,,,,,,,,,,,,,,,,,,,,0,7.854,1,8.752,1,5.231,1,3.432,1,4.432,1,3.954,1,3.108,1,6.569,1.0,5.417,1.0,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,-1,5.108,-1,10.165,-1,6.878,-1,12.351,-1.0,3.646,1,3.72,1,6.975,1.0,4.601,1.0,6.902,1,4.401,1.0,3.226,-1,4.443,-1.0,4.499,1.0,4.009,1,3.578,0,3.709,1.0,3.543,,,1.0,5.753,,,,,,,,,,,,,,,,,,,,,1,3.988,1,6.53,1,6.308,1,4.099,1,4.143,1,5.532,1,3.332,0,7.108,1.0,8.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A06,-1,17.992,1,6.442,-1,6.225,1,4.118,,,-1,4.044,1,3.998,-1.0,4.598,,,1,14.95,-1.0,4.112,-1,5.238,0.0,5.651,-1.0,3.454,1,5.736,1,4.687,1.0,3.654,,,1.0,7.785,,,,,,,,,,,,,,,,,,,,,0,5.477,0,6.756,0,7.097,0,4.598,1,6.053,-1,5.236,1,3.771,0,7.634,0.0,5.397,-1.0,3.446,1.0,4.752,1.0,4.948,-1.0,4.476,-1.0,3.518,1.0,4.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A07,1,6.554,1,6.911,1,7.562,1,5.671,,,1,7.159,1,8.801,-1.0,6.142,,,1,4.809,1.0,3.911,-1,13.147,-1.0,5.381,1.0,4.592,-1,11.87,1,13.194,1.0,4.631,,,1.0,7.854,,,,,,,,,,,,,,,,,,,,,0,6.86,0,12.272,1,15.09,-1,7.412,0,5.098,1,8.927,-1,5.259,1,7.964,-1.0,9.829,1.0,5.668,1.0,7.068,1.0,6.169,-1.0,5.674,-1.0,4.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A09,-1,7.084,1,4.666,-1,8.722,-1,3.731,-1.0,2.77,-1,3.776,-1,4.102,,,,,1,4.715,1.0,3.826,-1,5.34,0.0,4.216,-1.0,7.466,-1,3.787,1,7.32,-1.0,4.053,1.0,3.877,-1.0,7.216,-1.0,5.577,-1.0,5.732,,,-1.0,5.221,-1.0,4.397,-1.0,4.132,0.0,3.828,0.0,6.745,0.0,6.139,-1.0,5.678,0,4.463,0,8.418,1,12.694,0,7.776,0,5.598,1,7.687,-1,5.181,0,10.002,,,,,1.0,5.561,1.0,5.192,-1.0,6.235,-1.0,4.039,,,0.0,4.331,0.0,8.128,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,1,11.687,1,5.02,1,7.609,1,7.871,,,-1,5.662,1,6.004,1.0,5.152,1.0,4.989,1,16.876,1.0,4.546,-1,10.899,0.0,22.394,1.0,11.199,1,10.004,0,7.208,-1.0,4.562,-1.0,6.231,-1.0,14.869,-1.0,9.217,0.0,9.649,-1.0,8.145,-1.0,11.371,-1.0,6.257,0.0,5.651,0.0,10.018,0.0,5.591,0.0,7.667,0.0,15.739,-1,16.781,0,9.954,-1,9.868,0,6.904,1,8.998,1,7.933,-1,6.752,0,10.032,,,1.0,3.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,1,4.422,1,4.576,-1,6.478,1,10.583,,,1,4.298,1,5.25,1.0,4.274,1.0,5.12,1,5.267,-1.0,4.992,-1,8.47,-1.0,10.786,1.0,4.816,1,9.409,1,3.476,1.0,4.098,,,-1.0,7.771,0.0,7.778,,,,,,,,,,,,,,,,,,,0,10.407,1,7.373,0,14.79,1,3.308,1,5.07,-1,7.108,1,3.753,1,7.162,0.0,9.072,-1.0,2.468,,,,,,,,,1.0,12.859,,,,,1.0,4.897,1.0,3.476,,,,,,,,,,,,,,,,,,,,,,
A17,1,6.02,-1,4.909,-1,6.488,1,3.133,,,-1,5.161,1,4.195,1.0,4.073,1.0,4.943,1,4.474,1.0,3.309,-1,5.73,-1.0,4.262,1.0,4.708,1,4.72,0,5.92,1.0,3.953,,,-1.0,3.973,0.0,5.434,,,,,,,,,,,,,0.0,4.732,0.0,5.098,0.0,5.341,-1,4.542,1,6.66,0,8.341,1,4.432,0,7.674,1,6.573,1,4.887,1,9.715,,,1.0,3.038,,,,,,,,,,,,,,,0.0,5.887,,,-1.0,4.086,,,,,,,,,,,,,,,,,,,,
